dimension,neighbor_max_abs_error,neighbor_rho_at_max,laplace_max_abs_error,laplace_rho_at_max,laplace_to_neighbor_error_ratio
55,1.5865772411416401e-06,0.9999606543371227,0.003535661796099987,0.4187784205759595,2228.4838735968888
57,1.4226538951334078e-06,0.9998770622022051,0.0034072335300656675,0.4186139165354215,2394.9841502006066
59,1.280554670302081e-06,0.9999479174695339,0.003287803824889579,0.4184609182292255,2567.4841544359765
61,1.156765279120009e-06,0.999933653882528,0.00317645935013644,0.4183182354893666,2745.984347449365
63,1.048429453476274e-06,0.9999234556048957,0.003072406282136342,0.41818488464129006,2930.4845184854116
65,9.532092235531309e-07,0.9999747957345564,0.002974951383812652,0.4180594025559439,3120.984680281822
67,8.691786206327379e-07,0.9999912752606082,0.002883486567785809,0.41794213329762214,3317.4844610037817
69,7.947410267661326e-07,0.99996086371207,0.0027974762163935907,0.41783177460154886,3519.9846518264626
71,7.285658512046211e-07,0.9998454905029671,0.0027164467015623472,0.4177276266127605,3728.484799378032
73,6.695379397569923e-07,0.9999913737042989,0.002639977671734073,0.4176294940751339,3942.984429967103
75,6.167177843963145e-07,0.999975682661066,0.002567694767854789,0.41753645629342856,4163.484227016777
77,5.693102593795629e-07,0.999937716011858,0.0024992635019316367,0.4174481209996635,4389.985005110124
79,5.266397238301579e-07,0.9999606543371227,0.0024343840884526458,0.41736513123730584,4622.484742981026
81,4.881289896729868e-07,0.999974586359609,0.0023727870583485355,0.4172855159981567,4860.983691909267
83,4.5328295783519934e-07,1-,0.0023142295224225506,0.4172103675494267,5105.48539807212
85,4.216763045405969e-07,1-,0.0022584919735813003,0.41713842550705926,5355.985027524504
87,3.929410468117567e-07,0.9998798523825677,0.00220537554009681,0.4170699581560174,5612.484513874985
89,3.667583996502799e-07,0.999940982005684,0.0021546996165717758,0.4170046823564522,5874.983691242997
91,3.4285108085896354e-07,0.9997893436631274,0.0021062998144998346,0.41694225774911636,6143.483080825666
93,3.20977164847136e-07,0.9999011776092837,0.0020600261822707466,0.416882467578881,6417.983607188459
95,3.009251940966351e-07,0.9999850695294976,0.002015741654787462,0.41682538935225677,6698.480866112372
97,2.825090632541105e-07,0.9998027580822783,0.0019733206982692764,0.41677064923453055,6984.981917179482
99,2.6556551802059403e-07,0.9999095527355231,0.001932648123123215,0.41671834604530394,7277.481419757751
101,2.499501761121792e-07,0.9998985928175811,0.0018936180396451618,0.4166679762703542,7575.982018093456
103,2.3553548089694232e-07,0.9999393070061056,0.0018561329386912462,0.41661964167585663,7880.481240545624
105,2.2220820028451271e-07,0.999896978504439,0.0018201028785966855,0.41657314777191645,8190.979794023117
107,2.0986772142350674e-07,0.999937030381217,0.0017854447650407224,0.4165280668020528,8507.476771226522
109,1.984242317121243e-07,0.999859841275348,0.0017520817117002707,0.41648525738955955,8829.978559484645
111,1.8779792299028486e-07,0.9999728065882018,0.0017199424714817724,0.41644394030456966,9158.474407465881
113,1.7791694517654832e-07,0.9998980231507578,0.001688960928419192,0.4164036007425661,9492.973964583438
115,1.687171788944397e-07,0.999904507497283,0.0016590756444898602,0.4163651490652514,9833.47194020998
117,1.6014087123039644e-07,0.9999192402825038,0.0016302294526511218,0.41632803941090873,10179.971172416645
119,1.5213618098641746e-07,0.9998421023376197,0.0016023690924882317,0.41629191768581686,10532.465598247725
121,1.44656041811686e-07,0.9998106820805355,0.0015754448816949207,0.4162573813235884,10890.971866531805
123,1.376583895762451e-07,0.9997715440381487,0.0015494104211128956,0.4162238755404357,11255.473973525754
125,1.3110502550262026e-07,0.9998521002184271,0.001524222327745406,0.4161909471257102,11625.964160427571
127,1.2496093404479325e-07,0.999903698914225,0.00149983999336456,0.41616014563146897,12002.471050888036
129,1.1919496500922833e-07,0.9997954074741644,0.001476225366623396,0.41612882755732794,12384.964134257714
131,1.1377846931281965e-07,0.9998421171676782,0.0014533427546652433,0.41609944558804585,12773.442668396772
133,1.0868507160921581e-07,0.9998147563035183,0.0014311586432356194,0.4160707239070625,13167.941300912444
135,1.038911250361707e-07,0.9997106543373728,0.0014096415330158152,0.4160425421259053,13568.44997611716
137,9.937502909451723e-08,0.9997940024999674,0.001388761790508397,0.4160159323529057,13974.95732240262
139,9.511700227449182e-08,0.99971995718061,0.001368491511854586,0.41598951154552943,14387.454178858028
141,9.109885468205903e-08,0.9998771232969913,0.001348804398418224,0.4159640359297518,14805.942436111187
143,8.730376066523604e-08,0.9995808809291684,0.0013296756432126244,0.41593931788518834,15230.450934539125
145,8.371671356144361e-08,0.9999396769795189,0.00131108182605999,0.415915312801718,15660.932808807953
147,8.032338882912882e-08,0.9998988268839656,0.0012930008188689612,0.4158917989265285,16097.438588149582
149,7.711105354246683e-08,0.9999157787402404,0.001275411697115203,0.41586918712692994,16539.93349232097
151,7.406788427033462e-08,0.9999925047694646,0.0012582946595074418,0.4158468581173553,16988.397493775978
153,7.118251232896e-08,0.9999166508355857,0.0012416309529896807,0.41582531639225645,17442.921194627936
155,6.844516065029893e-08,0.9999207453986466,0.001225402805218323,0.41580433156040925,17903.425071630263
157,6.584650691365823e-08,0.999811643409468,0.0012095933603291087,0.4157838416153272,18369.89412232904
159,6.337768354569562e-08,0.9998969933353115,0.001194186621695792,0.41576419456338926,18842.383547116828
161,6.103073246777058e-08,0.999794938556334,0.0011791673965291238,0.41574450403342117,19320.878987513785
163,5.879824982457649e-08,1-,0.001164521247218886,0.4157255455507491,19805.37262066837
165,5.667334335157648e-08,0.9999363528296447,0.001150234444693865,0.4157067516815151,20295.863569550093
167,5.464949026645627e-08,0.9997660659355597,0.0011362939247305803,0.41568939520858617,20792.39749886624
169,5.2720906751346774e-08,0.9998342340899511,0.0011226872489800144,0.4156713446409444,21294.915398080382
171,5.088213583803736e-08,0.9998722469169832,0.0011094025679128094,0.41565434680231783,21803.380491812342
173,4.912794793199282e-08,0.9999914033688442,0.001096428585995568,0.41563815354547873,22317.81770151157
175,4.745334081235342e-08,0.9999738360451945,0.0010837545301143336,0.41562090740727387,22838.318895183085
177,4.585399437928572e-08,0.9996259964483915,0.0010713701191278346,0.4156048582970477,23364.815511292076
179,4.432581590663176e-08,0.9997784795019987,0.0010592655370018633,0.41558939987289795,23897.259764673217
181,4.286448529455811e-08,0.9995922510255666,0.0010474314056523326,0.4155737635874097,24435.87969048377
183,4.1467046685284004e-08,0.9998651480040054,0.0010358587619023751,0.41555896670572845,24980.287835882584
185,4.012940735265147e-08,0.9991670610812629,0.0010245390340273275,0.4155440774021388,25530.878764887446
187,3.884906618623063e-08,0.9997771854936603,0.0010134640210281987,0.41552969681983615,26087.217030390377
189,3.762238520721439e-08,0.9998866090188636,0.0010026258724025183,0.41551558791190973,26649.71577108452
191,3.644686330517288e-08,0.9997453485428066,0.0009920170703452413,0.4155022879828988,27218.174086449984
193,3.531977199600078e-08,0.9998096292898312,0.0009816304113741126,0.41548862124016916,27792.65991539417
195,3.4238837542943656e-08,0.9999854738568696,0.0009714589908753624,0.4154759348957483,28373.01323845827
197,3.320133146189619e-08,0.9998309797823592,0.0009614961870454408,0.41546243686486783,28959.567123050794
199,3.220520738977939e-08,0.9998151517172812,0.0009517356477601879,0.41544992954027066,29552.228502718157
